start,end,id,x_l,y_up,x_r,y_low,label
0,0,2,20,348,120,448,ball_IA_constant
0,501,2,20,348,120,448,ball_IA_constant
502,1002,2,129,348,229,448,ball_IA_constant
1003,1504,2,239,348,339,448,ball_IA_constant
1505,1999,2,350,348,450,448,ball_IA_constant
2000,2501,2,463,348,563,448,ball_IA_constant
2502,3003,2,571,348,671,448,ball_IA_constant
3004,3505,2,683,348,783,448,ball_IA_constant
3506,4006,2,793,348,893,448,ball_IA_constant
4007,4508,2,905,348,1005,448,ball_IA_constant
4509,5000,2,794,348,894,448,ball_IA_constant
5001,5502,2,681,348,781,448,ball_IA_constant
5503,6004,2,572,348,672,448,ball_IA_constant
6005,6506,2,461,348,561,448,ball_IA_constant
6507,6656,2,350,348,450,448,ball_IA_constant
6657,7008,2,310,349,410,449,ball_IA_constant
7009,7499,2,238,348,338,448,ball_IA_constant
7500,8001,2,129,348,229,448,ball_IA_constant
8002,8212,2,18,348,118,448,ball_IA_constant
8213,8503,2,64,348,164,448,ball_IA_constant
8504,8704,2,129,348,229,448,ball_IA_constant
8705,8874,2,175,348,275,448,ball_IA_constant
8875,9005,2,213,348,313,448,ball_IA_constant
9006,9306,2,239,348,339,448,ball_IA_constant
9307,9507,2,306,348,406,448,ball_IA_constant
9508,9647,2,351,348,451,448,ball_IA_constant
9648,9788,2,381,348,481,448,ball_IA_constant
9789,10009,2,413,348,513,448,ball_IA_constant
10010,10500,2,460,348,560,448,ball_IA_constant
10501,10751,2,573,349,673,449,ball_IA_constant
10752,11002,2,627,348,727,448,ball_IA_constant
11003,11504,2,683,348,783,448,ball_IA_constant
11505,12006,2,793,348,893,448,ball_IA_constant
12007,12307,2,905,348,1005,448,ball_IA_constant
12308,12327,2,838,348,938,448,ball_IA_constant
12328,12508,2,834,348,934,448,ball_IA_constant
12509,12749,2,793,348,893,448,ball_IA_constant
12750,13010,2,740,348,840,448,ball_IA_constant
13011,13501,2,683,348,783,448,ball_IA_constant
13502,14003,2,573,348,673,448,ball_IA_constant
14004,14505,2,460,348,560,448,ball_IA_constant
14506,14605,2,350,348,450,448,ball_IA_constant
14606,15007,2,330,348,430,448,ball_IA_constant
15008,15509,2,239,348,339,448,ball_IA_constant
15510,15990,2,128,348,228,448,ball_IA_constant
15991,19020,2,20,348,120,448,ball_IA_constant
19020,19020,2,20,348,120,448,ball_IA_constant
0,0,3,20,348,120,448,ball_IA_variable
0,501,3,20,348,120,448,ball_IA_variable
502,1002,3,129,348,229,448,ball_IA_variable
1003,1504,3,239,348,339,448,ball_IA_variable
1505,1999,3,350,348,450,448,ball_IA_variable
2000,2501,3,463,348,563,448,ball_IA_variable
2502,3003,3,571,348,671,448,ball_IA_variable
3004,3505,3,683,348,783,448,ball_IA_variable
3506,4006,3,793,348,893,448,ball_IA_variable
4007,4508,3,905,348,1005,448,ball_IA_variable
4509,5000,3,688,348,788,448,ball_IA_variable
5001,5502,3,465,348,565,448,ball_IA_variable
5503,6005,3,461,348,561,448,ball_IA_variable
6006,6506,3,459,350,559,450,ball_IA_variable
6507,6658,3,295,348,395,448,ball_IA_variable
6659,7008,3,242,348,342,448,ball_IA_variable
7009,7499,3,227,348,327,448,ball_IA_variable
7500,8001,3,154,348,254,448,ball_IA_variable
8002,8203,3,18,348,118,448,ball_IA_variable
8204,8503,3,21,348,121,448,ball_IA_variable
8504,8705,3,59,348,159,448,ball_IA_variable
8706,8876,3,129,348,229,448,ball_IA_variable
8877,9005,3,132,348,232,448,ball_IA_variable
9006,9307,3,192,348,292,448,ball_IA_variable
9308,9507,3,332,348,432,448,ball_IA_variable
9508,9648,3,427,348,527,448,ball_IA_variable
9649,9789,3,494,348,594,448,ball_IA_variable
9790,10009,3,560,348,660,448,ball_IA_variable
10010,10500,3,627,348,727,448,ball_IA_variable
10501,10752,3,751,348,851,448,ball_IA_variable
10753,11002,3,759,348,859,448,ball_IA_variable
11003,11504,3,770,348,870,448,ball_IA_variable
11505,12006,3,820,348,920,448,ball_IA_variable
12007,12308,3,905,348,1005,448,ball_IA_variable
12309,12328,3,838,348,938,448,ball_IA_variable
12329,12508,3,834,348,934,448,ball_IA_variable
12509,12750,3,833,348,933,448,ball_IA_variable
12751,13010,3,834,348,934,448,ball_IA_variable
13011,13501,3,756,348,856,448,ball_IA_variable
13502,14003,3,602,348,702,448,ball_IA_variable
14004,14505,3,454,348,554,448,ball_IA_variable
14506,14606,3,452,348,552,448,ball_IA_variable
14607,15007,3,450,345,550,445,ball_IA_variable
15008,15509,3,327,348,427,448,ball_IA_variable
15510,15990,3,171,348,271,448,ball_IA_variable
15991,19020,3,20,348,120,448,ball_IA_variable
19020,19020,3,20,348,120,448,ball_IA_variable
