"","subject","IP_LABEL","IA_LABEL","trial","condition","condition_trial","motion","stimulus","session","IA_DWELL_TIME","TRIAL_DWELL_TIME","IP_DURATION","Breed","sex","neutered","age"
"1","subj.01","end_IP","end_position",1,"B-C","B-C _ 1","constant","ball",1,1142,2953,3030,"Border Collie","m","yes",23
"2","subj.01","end_IP","end_position",2,"B-C","B-C _ 2","constant","ball",1,0,2722,3029,"Border Collie","m","yes",23
"3","subj.01","end_IP","end_position",3,"B-C","B-C _ 3","constant","ball",1,0,1840,3002,"Border Collie","m","yes",23
"4","subj.01","end_IP","end_position",1,"B-V","B-V _ 1","variable","ball",2,934,2874,3031,"Border Collie","m","yes",23
"5","subj.01","end_IP","end_position",2,"B-V","B-V _ 2","variable","ball",2,0,2806,3031,"Border Collie","m","yes",23
"6","subj.01","end_IP","end_position",3,"B-V","B-V _ 3","variable","ball",2,0,1245,3000,"Border Collie","m","yes",23
"7","subj.01","end_IP","end_position",1,"F-V","F-V _ 1","variable","fur",3,2206,2889,3028,"Border Collie","m","yes",23
"8","subj.01","end_IP","end_position",2,"F-V","F-V _ 2","variable","fur",3,0,2061,3028,"Border Collie","m","yes",23
"9","subj.01","end_IP","end_position",3,"F-V","F-V _ 3","variable","fur",3,3001,3001,3001,"Border Collie","m","yes",23
"10","subj.01","end_IP","end_position",1,"F-C","F-C _ 1","constant","fur",4,329,2999,3008,"Border Collie","m","yes",23
"11","subj.01","end_IP","end_position",2,"F-C","F-C _ 2","constant","fur",4,0,3023,3023,"Border Collie","m","yes",23
"12","subj.01","end_IP","end_position",3,"F-C","F-C _ 3","constant","fur",4,2973,2973,3000,"Border Collie","m","yes",23
"13","subj.02","end_IP","end_position",2,"B-V","B-V _ 2","variable","ball",1,2516,2656,3031,"Border Collie","f","no",28
"14","subj.02","end_IP","end_position",3,"B-V","B-V _ 3","variable","ball",1,1009,2664,3002,"Border Collie","f","no",28
"15","subj.02","end_IP","end_position",1,"B-C","B-C _ 1","constant","ball",2,523,2611,3002,"Border Collie","f","no",28
"16","subj.02","end_IP","end_position",2,"B-C","B-C _ 2","constant","ball",2,0,2546,3002,"Border Collie","f","no",28
"17","subj.02","end_IP","end_position",3,"B-C","B-C _ 3","constant","ball",2,982,2565,3002,"Border Collie","f","no",28
"18","subj.02","end_IP","end_position",1,"F-C","F-C _ 1","constant","fur",3,2996,2996,3002,"Border Collie","f","no",28
"19","subj.02","end_IP","end_position",2,"F-C","F-C _ 2","constant","fur",3,175,2554,3002,"Border Collie","f","no",28
"20","subj.02","end_IP","end_position",3,"F-C","F-C _ 3","constant","fur",3,0,2770,3002,"Border Collie","f","no",28
"21","subj.02","end_IP","end_position",1,"F-V","F-V _ 1","variable","fur",4,1014,2670,3030,"Border Collie","f","no",28
"22","subj.02","end_IP","end_position",2,"F-V","F-V _ 2","variable","fur",4,2317,2765,3001,"Border Collie","f","no",28
"23","subj.02","end_IP","end_position",3,"F-V","F-V _ 3","variable","fur",4,2378,2818,3030,"Border Collie","f","no",28
