"","subject","trial","condition","motion","stimulus","session","AVERAGE_FIXATION_DURATION","AVERAGE_SACCADE_AMPLITUDE","FIXATION_COUNT","PUPIL_SIZE_MAX","SACCADE_COUNT","Breed","sex","neutered","age","stimuli_first","motion_first"
"1","subj.01",1,"B-C","C","B",1,516.17,2.34,35,11287,34,"Border Collie","m","yes",23,"ball","constant"
"2","subj.01",2,"B-C","C","B",1,479.84,2.74,37,9087,37,"Border Collie","m","yes",23,"ball","constant"
"3","subj.01",3,"B-C","C","B",1,621.69,6.59,26,9668,26,"Border Collie","m","yes",23,"ball","constant"
"4","subj.01",1,"B-V","V","B",2,563.47,2.9,32,8296,31,"Border Collie","m","yes",23,"ball","constant"
"5","subj.01",2,"B-V","V","B",2,517.21,4.69,33,10261,32,"Border Collie","m","yes",23,"ball","constant"
"6","subj.01",3,"B-V","V","B",2,711.43,5.74,23,9745,23,"Border Collie","m","yes",23,"ball","constant"
"7","subj.01",1,"F-V","V","F",3,389.78,1.81,45,10268,44,"Border Collie","m","yes",23,"ball","constant"
"8","subj.01",2,"F-V","V","F",3,642.63,2.53,27,11398,27,"Border Collie","m","yes",23,"ball","constant"
"9","subj.01",3,"F-V","V","F",3,569.81,1.94,32,7791,31,"Border Collie","m","yes",23,"ball","constant"
"10","subj.01",1,"F-C","C","F",4,518.57,2.01,35,7816,34,"Border Collie","m","yes",23,"ball","constant"
"11","subj.01",2,"F-C","C","F",4,688.85,2.67,26,8439,25,"Border Collie","m","yes",23,"ball","constant"
"12","subj.01",3,"F-C","C","F",4,603.03,3.15,30,7476,29,"Border Collie","m","yes",23,"ball","constant"
"13","subj.02",1,"B-V","V","B",1,1064.81,10.8,16,3670,15,"Border Collie","f","no",28,"ball","variable"
"14","subj.02",2,"B-V","V","B",1,1097.93,7.31,15,3102,14,"Border Collie","f","no",28,"ball","variable"
"15","subj.02",3,"B-V","V","B",1,1794.1,11.9,10,2873,9,"Border Collie","f","no",28,"ball","variable"
"16","subj.02",1,"B-C","C","B",2,643.57,7.28,23,4366,22,"Border Collie","f","no",28,"ball","variable"
"17","subj.02",2,"B-C","C","B",2,1051.93,9.34,15,4306,14,"Border Collie","f","no",28,"ball","variable"
"18","subj.02",3,"B-C","C","B",2,749,7.62,23,3297,22,"Border Collie","f","no",28,"ball","variable"
"19","subj.02",1,"F-C","C","F",3,861.85,9.49,20,4079,19,"Border Collie","f","no",28,"ball","variable"
"20","subj.02",2,"F-C","C","F",3,452.23,7.08,35,3469,34,"Border Collie","f","no",28,"ball","variable"
"21","subj.02",3,"F-C","C","F",3,1000.39,6.53,18,4446,18,"Border Collie","f","no",28,"ball","variable"
"22","subj.02",1,"F-V","V","F",4,526.61,9.27,31,3097,30,"Border Collie","f","no",28,"ball","variable"
"23","subj.02",2,"F-V","V","F",4,1304.36,4.73,14,2781,13,"Border Collie","f","no",28,"ball","variable"
"24","subj.02",3,"F-V","V","F",4,716.17,10.46,23,2915,22,"Border Collie","f","no",28,"ball","variable"
"25","subj.03",1,"F-V","V","F",1,1079.35,3.98,17,5439,16,"Mix","m","yes",22,"fur","variable"
"26","subj.03",2,"F-V","V","F",1,1415.69,6.86,13,5067,12,"Mix","m","yes",22,"fur","variable"
"27","subj.03",3,"F-V","V","F",1,1659.27,9.16,11,5309,10,"Mix","m","yes",22,"fur","variable"
"28","subj.03",1,"F-C","C","F",2,916.65,3.45,20,4848,19,"Mix","m","yes",22,"fur","variable"
"29","subj.03",2,"F-C","C","F",2,2063.44,6.29,9,5604,8,"Mix","m","yes",22,"fur","variable"
"30","subj.03",3,"F-C","C","F",2,1531.08,4.22,12,5141,11,"Mix","m","yes",22,"fur","variable"
"31","subj.03",1,"B-V","V","B",3,914.35,3.02,20,4813,19,"Mix","m","yes",22,"fur","variable"
"32","subj.03",2,"B-V","V","B",3,1209.73,5.52,15,3885,14,"Mix","m","yes",22,"fur","variable"
"33","subj.03",3,"B-V","V","B",3,2305.12,9.76,8,4307,7,"Mix","m","yes",22,"fur","variable"
"34","subj.03",1,"B-C","C","B",4,847.14,7.47,21,3254,20,"Mix","m","yes",22,"fur","variable"
"35","subj.03",2,"B-C","C","B",4,1491.58,8.25,12,4371,11,"Mix","m","yes",22,"fur","variable"
"36","subj.03",3,"B-C","C","B",4,650.32,10.7,25,5361,24,"Mix","m","yes",22,"fur","variable"
"37","subj.04",1,"F-C","C","F",1,1014.17,5.35,18,7745,17,"Australian Shepherd","f","no",81,"fur","constant"
"38","subj.04",2,"F-C","C","F",1,759.55,4.05,22,8602,21,"Australian Shepherd","f","no",81,"fur","constant"
