"","subject","IP_LABEL","IA_LABEL","trial","condition","object","session","IA_DWELL_TIME","TRIAL_DWELL_TIME","IP_DURATION","Breed","sex","neutered","age"
"1","subj.01","end_IP_cube","cube_human",1,"reversed","cube",1,0,1025,1035,"Border Collie","m","no",56
"2","subj.01","end_IP_cube","cube_up",1,"reversed","cube",1,683,1025,1035,"Border Collie","m","no",56
"3","subj.01","end_IP_cube","cube_low",1,"reversed","cube",1,0,1025,1035,"Border Collie","m","no",56
"4","subj.01","end_IP_cube","cube_human",2,"reversed","cube",1,0,1020,1034,"Border Collie","m","no",56
"5","subj.01","end_IP_cube","cube_up",2,"reversed","cube",1,903,1020,1034,"Border Collie","m","no",56
"6","subj.01","end_IP_cube","cube_low",2,"reversed","cube",1,0,1020,1034,"Border Collie","m","no",56
"7","subj.01","end_IP_cube","cube_human",3,"reversed","cube",1,882,990,1035,"Border Collie","m","no",56
"8","subj.01","end_IP_cube","cube_up",3,"reversed","cube",1,0,990,1035,"Border Collie","m","no",56
"9","subj.01","end_IP_cube","cube_low",3,"reversed","cube",1,0,990,1035,"Border Collie","m","no",56
"10","subj.01","end_IP_cube","cube_human",4,"reversed","cube",1,1035,1035,1035,"Border Collie","m","no",56
"11","subj.01","end_IP_cube","cube_up",4,"reversed","cube",1,0,1035,1035,"Border Collie","m","no",56
"12","subj.01","end_IP_cube","cube_low",4,"reversed","cube",1,0,1035,1035,"Border Collie","m","no",56
"13","subj.02","end_IP_cube","cube_human",1,"reversed","cube",1,0,1035,1035,"Labrador Retriever","f","yes",34
"14","subj.02","end_IP_cube","cube_up",1,"reversed","cube",1,0,1035,1035,"Labrador Retriever","f","yes",34
"15","subj.02","end_IP_cube","cube_low",1,"reversed","cube",1,0,1035,1035,"Labrador Retriever","f","yes",34
"16","subj.02","end_IP_cube","cube_human",2,"reversed","cube",1,0,1035,1035,"Labrador Retriever","f","yes",34
"17","subj.02","end_IP_cube","cube_up",2,"reversed","cube",1,0,1035,1035,"Labrador Retriever","f","yes",34
"18","subj.02","end_IP_cube","cube_low",2,"reversed","cube",1,0,1035,1035,"Labrador Retriever","f","yes",34
"19","subj.02","end_IP_cube","cube_human",3,"reversed","cube",1,0,1036,1036,"Labrador Retriever","f","yes",34
"20","subj.02","end_IP_cube","cube_up",3,"reversed","cube",1,0,1036,1036,"Labrador Retriever","f","yes",34
"21","subj.02","end_IP_cube","cube_low",3,"reversed","cube",1,0,1036,1036,"Labrador Retriever","f","yes",34
"22","subj.02","end_IP_cube","cube_human",4,"reversed","cube",1,0,1036,1036,"Labrador Retriever","f","yes",34
"23","subj.02","end_IP_cube","cube_up",4,"reversed","cube",1,0,1036,1036,"Labrador Retriever","f","yes",34
"24","subj.02","end_IP_cube","cube_low",4,"reversed","cube",1,0,1036,1036,"Labrador Retriever","f","yes",34
"25","subj.03","end_IP_cube","cube_human",1,"normal","cube",1,1028,1028,1036,"Mix","f","no",20
