"","subject","IP_LABEL","IA_LABEL","trial","condition","object","session","IA_DWELL_TIME","TRIAL_DWELL_TIME","IP_DURATION","Breed","sex","neutered","age"
"1","subj.01","end_rope_IP","Rope_up",5,"normal","rope",1,0,1019,1035,"Border Collie","m","no",56
"2","subj.01","end_rope_IP","Rope_low",5,"normal","rope",1,1019,1019,1035,"Border Collie","m","no",56
"3","subj.01","end_rope_IP","Rope_up",6,"normal","rope",1,0,981,1035,"Border Collie","m","no",56
"4","subj.01","end_rope_IP","Rope_low",6,"normal","rope",1,981,981,1035,"Border Collie","m","no",56
"5","subj.01","end_rope_IP","Rope_up",7,"normal","rope",1,0,1021,1035,"Border Collie","m","no",56
"6","subj.01","end_rope_IP","Rope_low",7,"normal","rope",1,1021,1021,1035,"Border Collie","m","no",56
"7","subj.01","end_rope_IP","Rope_up",8,"normal","rope",1,0,999,1034,"Border Collie","m","no",56
"8","subj.01","end_rope_IP","Rope_low",8,"normal","rope",1,999,999,1034,"Border Collie","m","no",56
"9","subj.02","end_rope_IP","Rope_up",5,"normal","rope",1,0,1021,1036,"Labrador Retriever","f","yes",34
"10","subj.02","end_rope_IP","Rope_low",5,"normal","rope",1,261,1021,1036,"Labrador Retriever","f","yes",34
"11","subj.02","end_rope_IP","Rope_up",6,"normal","rope",1,0,1036,1036,"Labrador Retriever","f","yes",34
"12","subj.02","end_rope_IP","Rope_low",6,"normal","rope",1,0,1036,1036,"Labrador Retriever","f","yes",34
"13","subj.02","end_rope_IP","Rope_up",7,"normal","rope",1,0,1036,1036,"Labrador Retriever","f","yes",34
"14","subj.02","end_rope_IP","Rope_low",7,"normal","rope",1,1036,1036,1036,"Labrador Retriever","f","yes",34
"15","subj.02","end_rope_IP","Rope_up",8,"normal","rope",1,0,1009,1009,"Labrador Retriever","f","yes",34
"16","subj.02","end_rope_IP","Rope_low",8,"normal","rope",1,0,1009,1009,"Labrador Retriever","f","yes",34
"17","subj.03","end_rope_IP","Rope_up",5,"normal","rope",1,0,991,1035,"Mix","f","no",20
"18","subj.03","end_rope_IP","Rope_low",5,"normal","rope",1,991,991,1035,"Mix","f","no",20
"19","subj.03","end_rope_IP","Rope_up",6,"normal","rope",1,0,1010,1035,"Mix","f","no",20
"20","subj.03","end_rope_IP","Rope_low",6,"normal","rope",1,0,1010,1035,"Mix","f","no",20
"21","subj.03","end_rope_IP","Rope_up",7,"normal","rope",1,923,923,1034,"Mix","f","no",20
"22","subj.03","end_rope_IP","Rope_low",7,"normal","rope",1,0,923,1034,"Mix","f","no",20
"23","subj.03","end_rope_IP","Rope_up",8,"normal","rope",1,971,971,1036,"Mix","f","no",20
"24","subj.03","end_rope_IP","Rope_low",8,"normal","rope",1,0,971,1036,"Mix","f","no",20
"25","subj.03","end_rope_IP","Rope_up",5,"reversed","rope",2,539,1017,1036,"Mix","f","no",20
"26","subj.03","end_rope_IP","Rope_low",5,"reversed","rope",2,0,1017,1036,"Mix","f","no",20
"27","subj.03","end_rope_IP","Rope_up",6,"reversed","rope",2,1002,1002,1035,"Mix","f","no",20
"28","subj.03","end_rope_IP","Rope_low",6,"reversed","rope",2,0,1002,1035,"Mix","f","no",20
"29","subj.03","end_rope_IP","Rope_up",7,"reversed","rope",2,1020,1020,1035,"Mix","f","no",20
"30","subj.03","end_rope_IP","Rope_low",7,"reversed","rope",2,0,1020,1035,"Mix","f","no",20
"31","subj.03","end_rope_IP","Rope_up",8,"reversed","rope",2,996,996,1036,"Mix","f","no",20
"32","subj.03","end_rope_IP","Rope_low",8,"reversed","rope",2,0,996,1036,"Mix","f","no",20
"33","subj.04","end_rope_IP","Rope_up",5,"reversed","rope",1,972,972,1036,"Mix","f","yes",37
"34","subj.04","end_rope_IP","Rope_low",5,"reversed","rope",1,0,972,1036,"Mix","f","yes",37
"35","subj.04","end_rope_IP","Rope_up",6,"reversed","rope",1,106,828,1036,"Mix","f","yes",37
"36","subj.04","end_rope_IP","Rope_low",6,"reversed","rope",1,0,828,1036,"Mix","f","yes",37
"37","subj.04","end_rope_IP","Rope_up",7,"reversed","rope",1,560,815,1037,"Mix","f","yes",37
"38","subj.04","end_rope_IP","Rope_low",7,"reversed","rope",1,0,815,1037,"Mix","f","yes",37
"39","subj.04","end_rope_IP","Rope_up",8,"reversed","rope",1,0,1031,1035,"Mix","f","yes",37
"40","subj.04","end_rope_IP","Rope_low",8,"reversed","rope",1,0,1031,1035,"Mix","f","yes",37
"41","subj.04","end_rope_IP","Rope_up",5,"normal","rope",2,0,1035,1035,"Mix","f","yes",37
"42","subj.04","end_rope_IP","Rope_low",5,"normal","rope",2,1035,1035,1035,"Mix","f","yes",37
"43","subj.04","end_rope_IP","Rope_up",6,"normal","rope",2,0,789,1037,"Mix","f","yes",37
"44","subj.04","end_rope_IP","Rope_low",6,"normal","rope",2,0,789,1037,"Mix","f","yes",37
"45","subj.04","end_rope_IP","Rope_up",7,"normal","rope",2,0,1035,1035,"Mix","f","yes",37
"46","subj.04","end_rope_IP","Rope_low",7,"normal","rope",2,1035,1035,1035,"Mix","f","yes",37
"47","subj.04","end_rope_IP","Rope_up",8,"normal","rope",2,0,837,1036,"Mix","f","yes",37
"48","subj.04","end_rope_IP","Rope_low",8,"normal","rope",2,189,837,1036,"Mix","f","yes",37
"49","subj.05","end_rope_IP","Rope_up",5,"reversed","rope",1,1011,1011,1035,"Labrador Retriever","f","yes",26
"50","subj.05","end_rope_IP","Rope_low",5,"reversed","rope",1,0,1011,1035,"Labrador Retriever","f","yes",26
"51","subj.05","end_rope_IP","Rope_up",6,"reversed","rope",1,1036,1036,1036,"Labrador Retriever","f","yes",26
"52","subj.05","end_rope_IP","Rope_low",6,"reversed","rope",1,0,1036,1036,"Labrador Retriever","f","yes",26
"53","subj.05","end_rope_IP","Rope_up",7,"reversed","rope",1,1036,1036,1036,"Labrador Retriever","f","yes",26
"54","subj.05","end_rope_IP","Rope_low",7,"reversed","rope",1,0,1036,1036,"Labrador Retriever","f","yes",26
"55","subj.05","end_rope_IP","Rope_up",8,"reversed","rope",1,1037,1037,1037,"Labrador Retriever","f","yes",26
"56","subj.05","end_rope_IP","Rope_low",8,"reversed","rope",1,0,1037,1037,"Labrador Retriever","f","yes",26
"57","subj.05","end_rope_IP","Rope_up",5,"normal","rope",2,0,1036,1036,"Labrador Retriever","f","yes",26
"58","subj.05","end_rope_IP","Rope_low",5,"normal","rope",2,1036,1036,1036,"Labrador Retriever","f","yes",26
"59","subj.05","end_rope_IP","Rope_up",6,"normal","rope",2,0,1036,1036,"Labrador Retriever","f","yes",26
"60","subj.05","end_rope_IP","Rope_low",6,"normal","rope",2,1036,1036,1036,"Labrador Retriever","f","yes",26
"61","subj.05","end_rope_IP","Rope_up",7,"normal","rope",2,0,1036,1036,"Labrador Retriever","f","yes",26
"62","subj.05","end_rope_IP","Rope_low",7,"normal","rope",2,1036,1036,1036,"Labrador Retriever","f","yes",26
