"","subject","IP_LABEL","IA_LABEL","trial","condition","object","session","IA_DWELL_TIME","TRIAL_DWELL_TIME","IP_DURATION","Breed","sex","neutered","age"
"1","subj.01","video_IP","cube_human",1,"reversed","cube",1,558,4780,5024,"Border Collie","m","no",56
"2","subj.01","video_IP","cube_up",1,"reversed","cube",1,683,4780,5024,"Border Collie","m","no",56
"3","subj.01","video_IP","cube_low",1,"reversed","cube",1,0,4780,5024,"Border Collie","m","no",56
"4","subj.01","video_IP","head_IA",1,"reversed","cube",1,0,4780,5024,"Border Collie","m","no",56
"5","subj.01","video_IP","cube_human",2,"reversed","cube",1,1553,4872,5019,"Border Collie","m","no",56
"6","subj.01","video_IP","cube_up",2,"reversed","cube",1,903,4872,5019,"Border Collie","m","no",56
"7","subj.01","video_IP","cube_low",2,"reversed","cube",1,0,4872,5019,"Border Collie","m","no",56
"8","subj.01","video_IP","head_IA",2,"reversed","cube",1,0,4872,5019,"Border Collie","m","no",56
"9","subj.01","video_IP","cube_human",3,"reversed","cube",1,2746,4825,5019,"Border Collie","m","no",56
"10","subj.01","video_IP","cube_up",3,"reversed","cube",1,0,4825,5019,"Border Collie","m","no",56
"11","subj.01","video_IP","cube_low",3,"reversed","cube",1,0,4825,5019,"Border Collie","m","no",56
"12","subj.01","video_IP","head_IA",3,"reversed","cube",1,882,4825,5019,"Border Collie","m","no",56
"13","subj.01","video_IP","cube_human",4,"reversed","cube",1,1305,4658,5019,"Border Collie","m","no",56
"14","subj.01","video_IP","cube_up",4,"reversed","cube",1,0,4658,5019,"Border Collie","m","no",56
"15","subj.01","video_IP","cube_low",4,"reversed","cube",1,0,4658,5019,"Border Collie","m","no",56
"16","subj.01","video_IP","head_IA",4,"reversed","cube",1,0,4658,5019,"Border Collie","m","no",56
"17","subj.02","video_IP","cube_human",1,"reversed","cube",1,0,4687,5022,"Labrador Retriever","f","yes",34
"18","subj.02","video_IP","cube_up",1,"reversed","cube",1,92,4687,5022,"Labrador Retriever","f","yes",34
