"","subject","trial","condition","object","session","AVERAGE_FIXATION_DURATION","AVERAGE_SACCADE_AMPLITUDE","FIXATION_COUNT","PUPIL_SIZE_MAX","SACCADE_COUNT","Breed","sex","neutered","age"
"1","subj.01",9,"reversed","ball",1,603.71,7.24,7,3215,6,"Border Collie","m","no",56
"2","subj.01",10,"reversed","ball",1,519.62,7.45,8,4158,7,"Border Collie","m","no",56
"3","subj.01",11,"reversed","ball",1,713.5,6.94,6,3549,5,"Border Collie","m","no",56
"4","subj.01",12,"reversed","ball",1,419.44,13.67,9,5262,8,"Border Collie","m","no",56
"5","subj.02",9,"normal","ball",1,521.75,5.27,8,5713,7,"Labrador Retriever","f","yes",34
"6","subj.02",10,"normal","ball",1,600.57,6.46,7,5671,6,"Labrador Retriever","f","yes",34
"7","subj.02",11,"normal","ball",1,594.71,6.21,7,5615,6,"Labrador Retriever","f","yes",34
"8","subj.02",12,"normal","ball",1,605.71,6.06,7,5744,6,"Labrador Retriever","f","yes",34
"9","subj.03",9,"reversed","ball",1,410.8,7.17,10,5441,9,"Mix","f","no",20
"10","subj.03",10,"reversed","ball",1,401.1,9.2,10,5187,9,"Mix","f","no",20
"11","subj.03",11,"reversed","ball",1,460.22,9.24,9,5963,8,"Mix","f","no",20
"12","subj.03",9,"normal","ball",2,387.5,6.23,10,4886,10,"Mix","f","no",20
"13","subj.03",10,"normal","ball",2,522.5,4.07,8,4461,8,"Mix","f","no",20
"14","subj.03",11,"normal","ball",2,532.5,3.86,8,4550,7,"Mix","f","no",20
"15","subj.03",12,"normal","ball",2,610.86,5.19,7,4825,6,"Mix","f","no",20
"16","subj.04",9,"reversed","ball",1,342.33,5.68,12,3552,11,"Mix","f","yes",37
"17","subj.04",10,"reversed","ball",1,415.5,6.18,10,3718,9,"Mix","f","yes",37
"18","subj.04",11,"reversed","ball",1,466,7.31,9,3189,8,"Mix","f","yes",37
"19","subj.04",12,"reversed","ball",1,516.25,9.25,8,3380,7,"Mix","f","yes",37
"20","subj.04",9,"normal","ball",2,385.82,4.05,11,3585,10,"Mix","f","yes",37
"21","subj.04",10,"normal","ball",2,406.3,6.91,10,3209,9,"Mix","f","yes",37
"22","subj.04",11,"normal","ball",2,458.22,6.68,9,3374,8,"Mix","f","yes",37
"23","subj.04",12,"normal","ball",2,595.43,9.25,7,3392,6,"Mix","f","yes",37
"24","subj.05",9,"reversed","ball",1,451.33,8.6,9,4470,8,"Labrador Retriever","f","yes",26
"25","subj.05",10,"reversed","ball",1,457.11,8.27,9,3461,8,"Labrador Retriever","f","yes",26
"26","subj.05",11,"reversed","ball",1,451.22,8.07,9,3043,8,"Labrador Retriever","f","yes",26
"27","subj.05",12,"reversed","ball",1,374.82,4.81,11,2870,10,"Labrador Retriever","f","yes",26
"28","subj.05",9,"normal","ball",2,373.55,4.43,11,3900,11,"Labrador Retriever","f","yes",26
"29","subj.05",10,"normal","ball",2,524.88,6.68,8,3185,7,"Labrador Retriever","f","yes",26
"30","subj.05",11,"normal","ball",2,468.22,4.49,9,2800,8,"Labrador Retriever","f","yes",26
"31","subj.05",12,"normal","ball",2,584.29,6.11,7,3449,6,"Labrador Retriever","f","yes",26
