"","subject","trial","condition","object","session","AVERAGE_FIXATION_DURATION","AVERAGE_SACCADE_AMPLITUDE","FIXATION_COUNT","PUPIL_SIZE_MAX","SACCADE_COUNT","Breed","sex","neutered","age"
"1","subj.01",1,"reversed","cube",1,682.86,5.27,7,2845,6,"Border Collie","m","no",56
"2","subj.01",2,"reversed","cube",1,1218,4.35,4,3298,3,"Border Collie","m","no",56
"3","subj.01",3,"reversed","cube",1,804.17,3.42,6,2997,5,"Border Collie","m","no",56
"4","subj.01",4,"reversed","cube",1,931.6,7.91,5,2114,4,"Border Collie","m","no",56
"5","subj.02",1,"reversed","cube",1,520.78,2.75,9,5417,8,"Labrador Retriever","f","yes",34
"6","subj.02",2,"reversed","cube",1,474.7,2.8,10,14427,9,"Labrador Retriever","f","yes",34
"7","subj.02",3,"reversed","cube",1,529.89,2.3,9,6185,8,"Labrador Retriever","f","yes",34
"8","subj.02",4,"reversed","cube",1,672.71,4.04,7,6247,6,"Labrador Retriever","f","yes",34
"9","subj.03",1,"normal","cube",1,353.54,4,13,4142,12,"Mix","f","no",20
"10","subj.03",2,"normal","cube",1,305.93,7.12,14,4303,13,"Mix","f","no",20
"11","subj.03",3,"normal","cube",1,343.62,6.26,13,4661,12,"Mix","f","no",20
"12","subj.03",4,"normal","cube",1,417,4.86,11,5612,10,"Mix","f","no",20
"13","subj.03",1,"reversed","cube",2,284,3.23,16,5006,15,"Mix","f","no",20
"14","subj.03",2,"reversed","cube",2,388.92,2.51,12,4745,11,"Mix","f","no",20
"15","subj.03",3,"reversed","cube",2,305,3.07,15,4386,15,"Mix","f","no",20
"16","subj.03",4,"reversed","cube",2,320.5,4.3,14,4363,13,"Mix","f","no",20
"17","subj.04",1,"normal","cube",1,323.14,4.29,14,3065,13,"Mix","f","yes",37
"18","subj.04",2,"normal","cube",1,389.33,3.52,12,3236,11,"Mix","f","yes",37
"19","subj.04",3,"normal","cube",1,419.73,3.98,11,4003,11,"Mix","f","yes",37
"20","subj.04",4,"normal","cube",1,797.83,5.89,6,4700,5,"Mix","f","yes",37
"21","subj.04",1,"reversed","cube",2,425.09,4.2,11,4829,11,"Mix","f","yes",37
"22","subj.04",2,"reversed","cube",2,473.9,3.24,10,4078,9,"Mix","f","yes",37
"23","subj.04",3,"reversed","cube",2,609.25,1.39,8,4872,7,"Mix","f","yes",37
"24","subj.04",4,"reversed","cube",2,531.56,2.67,9,3714,8,"Mix","f","yes",37
"25","subj.05",1,"reversed","cube",1,573.88,4.55,8,1901,7,"Labrador Retriever","f","yes",26
"26","subj.05",2,"reversed","cube",1,808.33,3.76,6,2956,5,"Labrador Retriever","f","yes",26
"27","subj.05",3,"reversed","cube",1,979.6,2.62,5,2989,4,"Labrador Retriever","f","yes",26
"28","subj.05",4,"reversed","cube",1,975,3.45,5,3041,4,"Labrador Retriever","f","yes",26
"29","subj.05",1,"normal","cube",2,356.62,2.94,13,3177,12,"Labrador Retriever","f","yes",26
"30","subj.05",2,"normal","cube",2,354.54,3.44,13,3045,12,"Labrador Retriever","f","yes",26
"31","subj.05",3,"normal","cube",2,353.77,2.94,13,3273,12,"Labrador Retriever","f","yes",26
"32","subj.05",4,"normal","cube",2,331.43,2.49,14,3139,13,"Labrador Retriever","f","yes",26
"33","subj.06",1,"normal","cube",1,418.27,7.47,11,4466,10,"Mix","m","no",20
"34","subj.06",2,"normal","cube",1,371.83,7.2,12,4328,11,"Mix","m","no",20
"35","subj.06",3,"normal","cube",1,522.11,4.29,9,4735,8,"Mix","m","no",20
"36","subj.06",4,"normal","cube",1,560.75,6.34,8,5068,7,"Mix","m","no",20
"37","subj.06",1,"reversed","cube",2,294.2,6.29,15,3142,14,"Mix","m","no",20
"38","subj.06",2,"reversed","cube",2,524.67,4.47,9,3934,8,"Mix","m","no",20
"39","subj.06",3,"reversed","cube",2,481.11,8.51,9,2946,8,"Mix","m","no",20
"40","subj.06",4,"reversed","cube",2,402.55,5.71,11,2974,10,"Mix","m","no",20
"41","subj.07",1,"normal","cube",1,454.5,11.23,10,3722,9,"Border Collie","f","no",14
"42","subj.07",2,"normal","cube",1,402.55,7.64,11,3521,10,"Border Collie","f","no",14
"43","subj.07",3,"normal","cube",1,425,10.15,9,3847,9,"Border Collie","f","no",14
"44","subj.07",4,"normal","cube",1,399.22,12.71,9,4565,8,"Border Collie","f","no",14
"45","subj.07",1,"reversed","cube",2,413.18,7.37,11,3467,10,"Border Collie","f","no",14
"46","subj.07",2,"reversed","cube",2,526.11,3.98,9,3317,8,"Border Collie","f","no",14
"47","subj.07",3,"reversed","cube",2,408.64,4.04,11,3972,10,"Border Collie","f","no",14
"48","subj.07",4,"reversed","cube",2,792.5,4.81,6,4586,5,"Border Collie","f","no",14
"49","subj.08",1,"normal","cube",1,250.11,3.03,18,4938,17,"Border Collie","m","yes",19
"50","subj.08",2,"normal","cube",1,242,3.3,18,4298,17,"Border Collie","m","yes",19
"51","subj.08",3,"normal","cube",1,382.75,3.76,12,4560,11,"Border Collie","m","yes",19
"52","subj.08",4,"normal","cube",1,351.31,3.44,13,4836,12,"Border Collie","m","yes",19
"53","subj.08",1,"reversed","cube",2,280,4.03,16,5805,15,"Border Collie","m","yes",19
"54","subj.08",2,"reversed","cube",2,322.64,4.43,14,5928,13,"Border Collie","m","yes",19
"55","subj.08",3,"reversed","cube",2,296.27,4.75,15,5874,14,"Border Collie","m","yes",19
"56","subj.08",4,"reversed","cube",2,304.13,3.92,15,5685,14,"Border Collie","m","yes",19
"57","subj.09",1,"normal","cube",1,554.62,11.41,8,3005,8,"Border Collie","f","no",25
"58","subj.09",2,"normal","cube",1,450.7,6.88,10,2360,9,"Border Collie","f","no",25
"59","subj.09",3,"normal","cube",1,420.5,9.22,10,2285,9,"Border Collie","f","no",25
"60","subj.09",4,"normal","cube",1,679.43,5.35,7,2205,7,"Border Collie","f","no",25
"61","subj.09",1,"reversed","cube",2,522.11,4.27,9,1743,8,"Border Collie","f","no",25
"62","subj.09",2,"reversed","cube",2,459.5,4.12,10,1865,9,"Border Collie","f","no",25
"63","subj.09",3,"reversed","cube",2,792.33,5.18,6,1787,5,"Border Collie","f","no",25
"64","subj.09",4,"reversed","cube",2,679.86,3.64,7,1758,6,"Border Collie","f","no",25
"65","subj.10",1,"normal","cube",1,596.38,3.43,8,4221,7,"Mix","m","yes",18
"66","subj.10",2,"normal","cube",1,354.54,4,13,4765,12,"Mix","m","yes",18
"67","subj.10",3,"normal","cube",1,382.67,3.2,12,3782,11,"Mix","m","yes",18
"68","subj.10",4,"normal","cube",1,390.17,2.81,12,3561,11,"Mix","m","yes",18
"69","subj.10",1,"reversed","cube",2,415.27,5.75,11,4500,10,"Mix","m","yes",18
"70","subj.10",2,"reversed","cube",2,529.44,3.95,9,4192,8,"Mix","m","yes",18
"71","subj.10",3,"reversed","cube",2,591.5,4.58,8,3795,7,"Mix","m","yes",18
"72","subj.10",4,"reversed","cube",2,381.58,4.97,12,3838,11,"Mix","m","yes",18
"73","subj.11",1,"reversed","cube",1,464.1,7.07,10,5392,9,"Australian Shepherd","f","no",80
"74","subj.11",2,"reversed","cube",1,668.86,8.99,7,5454,6,"Australian Shepherd","f","no",80
"75","subj.11",3,"reversed","cube",1,970.2,3.95,5,5601,4,"Australian Shepherd","f","no",80
"76","subj.11",4,"reversed","cube",1,794.17,5.69,6,5856,5,"Australian Shepherd","f","no",80
"77","subj.11",1,"normal","cube",2,646.14,6.02,7,6841,6,"Australian Shepherd","f","no",80
"78","subj.11",2,"normal","cube",2,1168.25,5.56,4,6608,3,"Australian Shepherd","f","no",80
"79","subj.11",3,"normal","cube",2,1554.33,4.82,3,5954,2,"Australian Shepherd","f","no",80
"80","subj.11",4,"normal","cube",2,780,4.72,6,6614,5,"Australian Shepherd","f","no",80
"81","subj.01",1,"normal","cube",2,541.25,5.44,8,3190,7,"Border Collie","m","no",56
"82","subj.01",2,"normal","cube",2,951.2,7.08,5,3108,4,"Border Collie","m","no",56
"83","subj.01",3,"normal","cube",2,1628.67,4.52,3,3488,2,"Border Collie","m","no",56
"84","subj.01",4,"normal","cube",2,1185.75,8.73,4,3320,3,"Border Collie","m","no",56
"85","subj.12",1,"reversed","cube",1,258.24,4.82,17,4707,16,"Collie","m","no",18
"86","subj.12",2,"reversed","cube",1,292.4,4.56,15,4057,14,"Collie","m","no",18
"87","subj.12",3,"reversed","cube",1,469.4,3.25,10,4527,9,"Collie","m","no",18
"88","subj.12",4,"reversed","cube",1,529.22,2.94,9,5051,8,"Collie","m","no",18
"89","subj.12",1,"normal","cube",2,191.78,2.94,18,4676,17,"Collie","m","no",18
"90","subj.12",2,"normal","cube",2,359.17,2.52,12,5321,11,"Collie","m","no",18
"91","subj.12",3,"normal","cube",2,965.2,6.27,5,4745,4,"Collie","m","no",18
"92","subj.12",4,"normal","cube",2,598.75,2.49,8,5627,7,"Collie","m","no",18
"93","subj.02",1,"normal","cube",2,676,5.54,7,5752,6,"Labrador Retriever","f","yes",34
"94","subj.02",2,"normal","cube",2,786.83,5.21,6,6373,5,"Labrador Retriever","f","yes",34
"95","subj.02",3,"normal","cube",2,673.29,8.3,7,6269,6,"Labrador Retriever","f","yes",34
"96","subj.02",4,"normal","cube",2,961.4,6.58,5,6197,4,"Labrador Retriever","f","yes",34
"97","subj.13",1,"normal","cube",1,523.22,4.8,9,4151,8,"Border Collie","f","no",16
"98","subj.13",2,"normal","cube",1,584.38,5.36,8,4704,7,"Border Collie","f","no",16
