"","subject","trial","condition","object","session","AVERAGE_FIXATION_DURATION","AVERAGE_SACCADE_AMPLITUDE","FIXATION_COUNT","PUPIL_SIZE_MAX","SACCADE_COUNT","Breed","sex","neutered","age"
"1","subj.01",5,"normal","rope",1,402.71,2.82,7,3086,6,"Border Collie","m","no",56
"2","subj.01",6,"normal","rope",1,299.67,4.73,9,2806,8,"Border Collie","m","no",56
"3","subj.01",7,"normal","rope",1,574,3.75,5,3283,4,"Border Collie","m","no",56
"4","subj.01",8,"normal","rope",1,464.83,4.37,6,3126,6,"Border Collie","m","no",56
"5","subj.02",5,"normal","rope",1,469.17,6.75,6,7213,5,"Labrador Retriever","f","yes",34
"6","subj.02",6,"normal","rope",1,560.4,7,5,6954,4,"Labrador Retriever","f","yes",34
"7","subj.02",7,"normal","rope",1,715.25,7.32,4,7060,3,"Labrador Retriever","f","yes",34
"8","subj.02",8,"normal","rope",1,558.6,6.3,5,7329,4,"Labrador Retriever","f","yes",34
"9","subj.03",5,"normal","rope",1,270.2,4,10,6495,9,"Mix","f","no",20
"10","subj.03",6,"normal","rope",1,565.6,6.04,5,5578,4,"Mix","f","no",20
"11","subj.03",7,"normal","rope",1,375,7.41,7,5917,6,"Mix","f","no",20
"12","subj.03",8,"normal","rope",1,382.43,6.57,7,4726,6,"Mix","f","no",20
"13","subj.03",5,"reversed","rope",2,477,4.24,6,5277,5,"Mix","f","no",20
"14","subj.03",6,"reversed","rope",2,396,5.99,7,4733,6,"Mix","f","no",20
"15","subj.03",7,"reversed","rope",2,576,3.42,5,5008,4,"Mix","f","no",20
"16","subj.03",8,"reversed","rope",2,471.5,4.78,6,4641,5,"Mix","f","no",20
"17","subj.04",5,"reversed","rope",1,393.86,4.69,7,4042,6,"Mix","f","yes",37
"18","subj.04",6,"reversed","rope",1,378.71,8.18,7,3827,6,"Mix","f","yes",37
"19","subj.04",7,"reversed","rope",1,533.6,7.65,5,4928,4,"Mix","f","yes",37
"20","subj.04",8,"reversed","rope",1,709,7.47,4,5144,3,"Mix","f","yes",37
"21","subj.04",5,"normal","rope",2,477.17,3.92,6,4388,5,"Mix","f","yes",37
"22","subj.04",6,"normal","rope",2,668.75,8.41,4,4376,3,"Mix","f","yes",37
"23","subj.04",7,"normal","rope",2,712,5.51,4,4535,3,"Mix","f","yes",37
"24","subj.04",8,"normal","rope",2,531.8,7.53,5,4383,4,"Mix","f","yes",37
"25","subj.05",5,"reversed","rope",1,395.57,6.16,7,2766,6,"Labrador Retriever","f","yes",26
"26","subj.05",6,"reversed","rope",1,405.86,3.38,7,2844,6,"Labrador Retriever","f","yes",26
"27","subj.05",7,"reversed","rope",1,470,3.6,6,3560,5,"Labrador Retriever","f","yes",26
"28","subj.05",8,"reversed","rope",1,570.6,5.31,5,3007,4,"Labrador Retriever","f","yes",26
"29","subj.05",5,"normal","rope",2,570.2,7.06,5,3161,4,"Labrador Retriever","f","yes",26
"30","subj.05",6,"normal","rope",2,397.86,4.64,7,4419,6,"Labrador Retriever","f","yes",26
"31","subj.05",7,"normal","rope",2,566,5.38,5,3108,4,"Labrador Retriever","f","yes",26
"32","subj.05",8,"normal","rope",2,568.4,6.31,5,3189,4,"Labrador Retriever","f","yes",26
"33","subj.06",5,"normal","rope",1,571.4,6.8,5,5769,4,"Mix","m","no",20
"34","subj.06",6,"normal","rope",1,467.17,8.88,6,5633,5,"Mix","m","no",20
"35","subj.06",7,"normal","rope",1,565,10.69,5,5905,5,"Mix","m","no",20
"36","subj.06",8,"normal","rope",1,712,8.19,4,9289,4,"Mix","m","no",20
"37","subj.06",5,"reversed","rope",2,476.17,4.39,6,4147,5,"Mix","m","no",20
"38","subj.06",6,"reversed","rope",2,479,3.68,6,3621,5,"Mix","m","no",20
"39","subj.06",7,"reversed","rope",2,475.5,4.63,6,3629,5,"Mix","m","no",20
"40","subj.06",8,"reversed","rope",2,464.5,5.6,6,3264,5,"Mix","m","no",20
"41","subj.07",5,"reversed","rope",1,245.73,4.77,11,3825,10,"Border Collie","f","no",14
"42","subj.07",6,"reversed","rope",1,525.6,8.94,5,3906,4,"Border Collie","f","no",14
"43","subj.07",7,"reversed","rope",1,921,9.97,3,4129,3,"Border Collie","f","no",14
"44","subj.07",8,"reversed","rope",1,545.8,9.67,5,3508,4,"Border Collie","f","no",14
"45","subj.07",5,"normal","rope",2,292.44,7.29,9,4211,8,"Border Collie","f","no",14
"46","subj.07",6,"normal","rope",2,390.14,5.92,7,4263,6,"Border Collie","f","no",14
"47","subj.07",7,"normal","rope",2,365.29,7.42,7,4271,6,"Border Collie","f","no",14
"48","subj.07",8,"normal","rope",2,339.5,5.31,8,3892,7,"Border Collie","f","no",14
"49","subj.08",5,"normal","rope",1,345.12,6.02,8,7021,7,"Border Collie","m","yes",19
