start	end	x_l	y_up	x_r	y_low	label
0	0	90	275	200	385	ball_IA_normal
0	448	90	275	200	385	ball_IA_normal
449	547	91	271	201	381	ball_IA_normal
548	646	102	277	212	387	ball_IA_normal
647	702	142	281	252	391	ball_IA_normal
703	745	182	286	292	396	ball_IA_normal
746	772	206	292	316	402	ball_IA_normal
773	802	235	300	345	410	ball_IA_normal
803	827	263	305	373	415	ball_IA_normal
828	844	284	311	394	421	ball_IA_normal
845	903	303	312	413	422	ball_IA_normal
904	933	376	328	486	438	ball_IA_normal
934	943	416	333	526	443	ball_IA_normal
944	973	428	338	538	448	ball_IA_normal
974	1023	476	346	586	456	ball_IA_normal
1024	1042	547	360	657	470	ball_IA_normal
1043	1123	579	370	689	480	ball_IA_normal
1125	1141	728	400	838	510	ball_IA_normal
1142	1173	743	398	853	508	ball_IA_normal
1175	1207	829	417	939	527	ball_IA_normal
1208	1223	800	417	910	527	ball_IA_normal
1224	1232	768	407	878	517	ball_IA_normal
1233	1240	766	405	876	515	ball_IA_normal
1241	1274	761	411	871	521	ball_IA_normal
1275	1306	727	398	837	508	ball_IA_normal
1307	1372	713	396	823	506	ball_IA_normal
1373	1504	694	397	804	507	ball_IA_normal
1505	1603	691	404	801	514	ball_IA_normal
1604	1691	717	411	827	521	ball_IA_normal
1692	1702	766	428	876	538	ball_IA_normal
1703	1755	774	430	884	540	ball_IA_normal
1756	1768	831	442	941	552	ball_IA_normal
1769	1867	838	443	948	553	ball_IA_normal
1868	1999	823	453	933	563	ball_IA_normal
2000	2098	821	458	931	568	ball_IA_normal
2099	2362	855	478	965	588	ball_IA_normal
2363	2494	872	492	982	602	ball_IA_normal
2495	2923	885	504	995	614	ball_IA_normal
2924	3121	895	517	1005	627	ball_IA_normal
3122	4498	897	528	1007	638	ball_IA_normal
4498	4498	897	528	1007	638	ball_IA_normal
0	0	897	528	1007	638	ball_IA_reversed
0	491	897	528	1007	638	ball_IA_reversed
492	725	897	528	1007	638	ball_IA_reversed
726	857	888	515	998	625	ball_IA_reversed
858	1154	887	507	997	617	ball_IA_reversed
1155	1352	875	500	985	610	ball_IA_reversed
1353	1404	857	483	967	593	ball_IA_reversed
1405	1444	871	485	981	595	ball_IA_reversed
1445	1451	850	475	960	585	ball_IA_reversed
1452	1485	852	474	962	584	ball_IA_reversed
1486	1575	834	467	944	577	ball_IA_reversed
1576	1583	818	459	928	569	ball_IA_reversed
1584	1715	815	455	925	565	ball_IA_reversed
1716	1748	837	448	947	558	ball_IA_reversed
1749	1814	855	450	965	560	ball_IA_reversed
1815	1847	797	433	907	543	ball_IA_reversed
1848	1907	769	424	879	534	ball_IA_reversed
1908	1946	728	413	838	523	ball_IA_reversed
1947	2057	709	408	819	518	ball_IA_reversed
2058	2144	687	397	797	507	ball_IA_reversed
2145	2276	690	394	800	504	ball_IA_reversed
2277	2318	737	401	847	511	ball_IA_reversed
2319	2342	788	413	898	523	ball_IA_reversed
2343	2348	817	412	927	522	ball_IA_reversed
2349	2375	834	411	944	521	ball_IA_reversed
2376	2388	801	413	911	523	ball_IA_reversed
2389	2398	760	404	870	514	ball_IA_reversed
2399	2418	746	400	856	510	ball_IA_reversed
2419	2428	707	396	817	506	ball_IA_reversed
2429	2441	684	388	794	498	ball_IA_reversed
2442	2459	665	380	775	490	ball_IA_reversed
2460	2469	630	378	740	488	ball_IA_reversed
2470	2499	607	372	717	482	ball_IA_reversed
2500	2507	560	365	670	475	ball_IA_reversed
2508	2529	561	361	671	471	ball_IA_reversed
2530	2559	512	351	622	461	ball_IA_reversed
2560	2573	470	347	580	457	ball_IA_reversed
2574	2589	455	340	565	450	ball_IA_reversed
2590	2601	425	337	535	447	ball_IA_reversed
2602	2619	412	337	522	447	ball_IA_reversed
2620	2628	390	332	500	442	ball_IA_reversed
2629	2641	373	329	483	439	ball_IA_reversed
2642	2659	358	321	468	431	ball_IA_reversed
2660	2672	335	319	445	429	ball_IA_reversed
2673	2689	323	314	433	424	ball_IA_reversed
2690	2699	303	312	413	422	ball_IA_reversed
2700	2720	286	307	396	417	ball_IA_reversed
2721	2738	269	307	379	417	ball_IA_reversed
2739	2780	260	303	370	413	ball_IA_reversed
2781	2804	215	297	325	407	ball_IA_reversed
2805	2850	200	293	310	403	ball_IA_reversed
2851	2880	167	288	277	398	ball_IA_reversed
2881	2903	150	283	260	393	ball_IA_reversed
2904	3002	141	283	251	393	ball_IA_reversed
3003	3101	103	280	213	390	ball_IA_reversed
3102	4518	90	275	200	385	ball_IA_reversed
4518	4518	90	275	200	385	ball_IA_reversed
