start	end	x_l	y_up	x_r	y_low	label
0	0	502	50	582	130	cube_normal_IA
0	191	502	50	582	130	cube_normal_IA
192	392	489	55	569	135	cube_normal_IA
393	422	469	151	549	231	cube_normal_IA
423	452	464	181	544	261	cube_normal_IA
453	482	462	209	542	289	cube_normal_IA
483	512	459	243	539	323	cube_normal_IA
513	542	459	275	539	355	cube_normal_IA
543	572	452	312	532	392	cube_normal_IA
573	592	449	349	529	429	cube_normal_IA
593	612	450	373	530	453	cube_normal_IA
613	642	446	406	526	486	cube_normal_IA
643	672	444	449	524	529	cube_normal_IA
673	702	440	496	520	576	cube_normal_IA
703	722	438	548	518	628	cube_normal_IA
723	743	440	585	520	665	cube_normal_IA
744	783	440	618	520	698	cube_normal_IA
784	813	443	588	523	668	cube_normal_IA
814	853	442	559	522	639	cube_normal_IA
854	893	446	519	526	599	cube_normal_IA
894	943	451	492	531	572	cube_normal_IA
944	993	455	459	535	539	cube_normal_IA
994	1114	462	439	542	519	cube_normal_IA
1115	1194	468	423	548	503	cube_normal_IA
1195	1455	474	436	554	516	cube_normal_IA
1456	1505	491	623	571	703	cube_normal_IA
1506	1525	487	593	567	673	cube_normal_IA
1526	1595	481	584	561	664	cube_normal_IA
1596	1685	468	554	548	634	cube_normal_IA
1686	1766	446	538	526	618	cube_normal_IA
1767	1917	436	540	516	620	cube_normal_IA
1918	1937	409	617	489	697	cube_normal_IA
1938	1977	404	627	484	707	cube_normal_IA
1978	2068	408	611	488	691	cube_normal_IA
2069	2168	412	601	492	681	cube_normal_IA
2169	2369	419	605	499	685	cube_normal_IA
2370	2459	419	595	499	675	cube_normal_IA
2460	2530	419	607	499	687	cube_normal_IA
2531	2740	415	595	495	675	cube_normal_IA
2741	3011	404	597	484	677	cube_normal_IA
3012	5020	421	604	501	684	cube_normal_IA
5020	5020	421	604	501	684	cube_normal_IA
0	0	424	602	504	682	cube_reversed_IA
0	1049	424	602	504	682	cube_reversed_IA
1050	1200	424	604	504	684	cube_reversed_IA
1201	1521	410	602	490	682	cube_reversed_IA
1522	1621	412	598	492	678	cube_reversed_IA
1622	1681	418	605	498	685	cube_reversed_IA
1682	1782	420	600	500	680	cube_reversed_IA
1783	1912	420	602	500	682	cube_reversed_IA
1913	2042	416	609	496	689	cube_reversed_IA
2043	2113	410	602	490	682	cube_reversed_IA
2114	2283	408	624	488	704	cube_reversed_IA
2284	2354	435	544	515	624	cube_reversed_IA
2355	2424	447	539	527	619	cube_reversed_IA
2425	2585	461	544	541	624	cube_reversed_IA
2586	2605	490	619	570	699	cube_reversed_IA
2606	2635	489	621	569	701	cube_reversed_IA
2636	2645	489	589	569	669	cube_reversed_IA
2646	2695	486	579	566	659	cube_reversed_IA
2696	2755	486	535	566	615	cube_reversed_IA
2756	2815	484	489	564	569	cube_reversed_IA
2816	2845	479	456	559	536	cube_reversed_IA
2846	2956	475	443	555	523	cube_reversed_IA
2957	3036	466	425	546	505	cube_reversed_IA
3037	3156	462	437	542	517	cube_reversed_IA
3157	3297	452	486	532	566	cube_reversed_IA
3298	3317	443	615	523	695	cube_reversed_IA
3318	3327	440	615	520	695	cube_reversed_IA
3328	3357	440	599	520	679	cube_reversed_IA
3358	3387	443	544	523	624	cube_reversed_IA
3388	3417	443	498	523	578	cube_reversed_IA
3418	3468	444	449	524	529	cube_reversed_IA
3469	3498	449	376	529	456	cube_reversed_IA
3499	3528	455	334	535	414	cube_reversed_IA
3529	3558	456	294	536	374	cube_reversed_IA
3559	3588	458	257	538	337	cube_reversed_IA
3589	3608	461	225	541	305	cube_reversed_IA
3609	3648	464	205	544	285	cube_reversed_IA
3649	3759	467	167	547	247	cube_reversed_IA
3760	3809	482	92	562	172	cube_reversed_IA
3810	3909	485	72	565	152	cube_reversed_IA
3910	3989	496	51	576	131	cube_reversed_IA
3990	5024	503	49	583	129	cube_reversed_IA
5024	5024	503	49	583	129	cube_reversed_IA
