start	end	x_l	y_up	x_r	y_low	label
0	0	305	40	740	300	rope_IA_normal
0	852	305	40	740	300	rope_IA_normal
853	904	305	60	740	320	rope_IA_normal
905	944	270	160	750	396	rope_IA_normal
945	974	250	260	750	475	rope_IA_normal
975	1014	250	340	740	554	rope_IA_normal
1015	1034	250	470	730	660	rope_IA_normal
1035	1054	235.5	483	752.5	720	rope_IA_normal
1055	1144	250	480	720	714	rope_IA_normal
1145	1205	240	479	750	713	rope_IA_normal
1206	3022	243	520	760	710	rope_IA_normal
3022	3022	243	520	760	710	rope_IA_normal
0	0	243	520	760	710	rope_IA_reversed
0	842	243	520	760	710	rope_IA_reversed
843	1023	243	520	760	710	rope_IA_reversed
1024	1033	240	445	736.5	635	rope_IA_reversed
1034	1043	240	415	730	605	rope_IA_reversed
1044	1063	238.5	375	740	565	rope_IA_reversed
1064	1073	245.75	320	742.25	510	rope_IA_reversed
1074	1093	247.5	295	744.5	485	rope_IA_reversed
1094	1103	243.5	235	760.5	435	rope_IA_reversed
1104	1113	243.5	215	760.5	415	rope_IA_reversed
1114	1143	248.5	185	755.5	395	rope_IA_reversed
1144	1153	259.995	130	750.245	330	rope_IA_reversed
1154	1163	280	115	750	335	rope_IA_reversed
1164	1223	280.5	95	750	335	rope_IA_reversed
1224	3011	305	40	740	300	rope_IA_reversed
3011	3011	305	40	740	300	rope_IA_reversed
